@timestamp	_id	_ignored	_index	_score	agent.ephemeral_id	agent.id	agent.name	agent.name.text	agent.type	agent.version	auditd.log.AUID	auditd.log.EGID	auditd.log.EUID	auditd.log.FSGID	auditd.log.FSUID	auditd.log.GID	auditd.log.SGID	auditd.log.SUID	auditd.log.SYSCALL	auditd.log.UID	auditd.log.a0	auditd.log.a1	auditd.log.a2	auditd.log.a3	auditd.log.items	auditd.log.key	auditd.log.record_type	auditd.log.sequence	auditd.log.ses	auditd.log.subj	auditd.log.success	auditd.log.syscall	auditd.log.tty	data_stream.dataset	data_stream.namespace	data_stream.type	ecs.version	elastic_agent.id	elastic_agent.snapshot	elastic_agent.version	event.action	event.agent_id_status	event.category	event.dataset	event.ingested	event.kind	event.module	event.type	host.architecture	host.containerized	host.hostname	host.id	host.ip	host.mac	host.name	host.os.codename	host.os.family	host.os.kernel	host.os.name	host.os.name.text	host.os.platform	host.os.type	host.os.version	input.type	log.file.path	log.offset	process.executable	process.executable.text	process.exit_code	process.name	process.name.text	process.parent.pid	process.pid	tags	user.audit.id	user.effective.group.id	user.effective.id	user.filesystem.group.id	user.filesystem.id	user.group.id	user.id	user.saved.group.id	user.saved.id
Oct 25, 2025 @ 17:21:14.102	AZoeIplXb6KZxJ0O_phZ	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	32798703-9515-4868-984a-21a3cc22fed9	f1bd554f-6f96-4c00-add6-de30f87c7da6	Victim-Ubuntu	Victim-Ubuntu	filebeat	8.19.6	victim	www-data	www-data	www-data	www-data	www-data	www-data	www-data	execve	www-data	5c283016ffb8	5c28301646f0	5c2830173ec0	64	2	(null)ARCH=x86_64	SYSCALL	1,403	3	unconfined	true	59	pts1	auditd.log	default	logs	8.17.0	f1bd554f-6f96-4c00-add6-de30f87c7da6	false	8.19.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 20:28:59.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	5,295,950	/usr/bin/netstat	/usr/bin/netstat	0	netstat	netstat	1,707	1,708	auditd-log	1000	33	33	33	33	33	33	33	33
Oct 25, 2025 @ 17:21:14.102	AZoddrwmetNm2ohB9HmL	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	94201f9a-23ec-4cf5-b769-761bdf4d25fa	3305ff66-733b-4e35-91eb-3bb93bc1eb59	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.5	victim	www-data	www-data	www-data	www-data	www-data	www-data	www-data	execve	www-data	5c283016ffb8	5c28301646f0	5c2830173ec0	64	2	(null)ARCH=x86_64	SYSCALL	1,403	3	unconfined	true	59	pts1	auditd.log	default	logs	8.17.0	3305ff66-733b-4e35-91eb-3bb93bc1eb59	false	9.1.5	syscall	verified	process	auditd.log	Oct 25, 2025 @ 17:21:20.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	5,295,950	/usr/bin/netstat	/usr/bin/netstat	0	netstat	netstat	1,707	1,708	auditd-log	1000	33	33	33	33	33	33	33	33
Oct 25, 2025 @ 17:21:14.102	AZodoJlXb6KZxJhDYG21	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	b78555c1-ae1e-4726-a72e-aadd9b4ef02f	3d539cdf-60e0-4c10-9428-5694ee6316cd	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.6	victim	www-data	www-data	www-data	www-data	www-data	www-data	www-data	execve	www-data	5c283016ffb8	5c28301646f0	5c2830173ec0	64	2	(null)ARCH=x86_64	SYSCALL	1,403	3	unconfined	true	59	pts1	auditd.log	default	logs	8.17.0	3d539cdf-60e0-4c10-9428-5694ee6316cd	false	9.1.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 18:07:12.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	5,295,950	/usr/bin/netstat	/usr/bin/netstat	0	netstat	netstat	1,707	1,708	auditd-log	1000	33	33	33	33	33	33	33	33
Oct 25, 2025 @ 17:21:14.102	AZodwplXb6KZxJtZAQiy	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	9c6099a3-c17f-4368-9bcf-048902b1b295	f1bd554f-6f96-4c00-add6-de30f87c7da6	Victim-Ubuntu	Victim-Ubuntu	filebeat	8.19.6	victim	www-data	www-data	www-data	www-data	www-data	www-data	www-data	execve	www-data	5c283016ffb8	5c28301646f0	5c2830173ec0	64	2	(null)ARCH=x86_64	SYSCALL	1,403	3	unconfined	true	59	pts1	auditd.log	default	logs	8.17.0	f1bd554f-6f96-4c00-add6-de30f87c7da6	false	8.19.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 18:44:26.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	5,295,950	/usr/bin/netstat	/usr/bin/netstat	0	netstat	netstat	1,707	1,708	auditd-log	1000	33	33	33	33	33	33	33	33
Oct 25, 2025 @ 00:27:08.806	AZoZ1U6JiQxbQY3jDSrh	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	1c811ef2-1bc0-4671-91f9-307493a6bf0c	3305ff66-733b-4e35-91eb-3bb93bc1eb59	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.5	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	703	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3305ff66-733b-4e35-91eb-3bb93bc1eb59	false	9.1.5	syscall	verified	process	auditd.log	Oct 25, 2025 @ 00:27:19.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,219,363	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
Oct 25, 2025 @ 00:27:08.806	AZoZ1U6JiQxbQY3jDSrl	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	1c811ef2-1bc0-4671-91f9-307493a6bf0c	3305ff66-733b-4e35-91eb-3bb93bc1eb59	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.5	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	704	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3305ff66-733b-4e35-91eb-3bb93bc1eb59	false	9.1.5	syscall	verified	process	auditd.log	Oct 25, 2025 @ 00:27:19.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,220,139	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
Oct 25, 2025 @ 00:27:08.806	AZoZ1U6JiQxbQY3jDSrp	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	1c811ef2-1bc0-4671-91f9-307493a6bf0c	3305ff66-733b-4e35-91eb-3bb93bc1eb59	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.5	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	705	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3305ff66-733b-4e35-91eb-3bb93bc1eb59	false	9.1.5	syscall	verified	process	auditd.log	Oct 25, 2025 @ 00:27:19.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,220,914	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
Oct 25, 2025 @ 00:27:08.806	AZodn5lXb6KZxJfcwRwz	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	b78555c1-ae1e-4726-a72e-aadd9b4ef02f	3d539cdf-60e0-4c10-9428-5694ee6316cd	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.6	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	703	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3d539cdf-60e0-4c10-9428-5694ee6316cd	false	9.1.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 18:06:46.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,219,363	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
Oct 25, 2025 @ 00:27:08.806	AZodn5lXb6KZxJfcwRw5	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	b78555c1-ae1e-4726-a72e-aadd9b4ef02f	3d539cdf-60e0-4c10-9428-5694ee6316cd	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.6	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	704	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3d539cdf-60e0-4c10-9428-5694ee6316cd	false	9.1.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 18:06:46.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,220,139	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
Oct 25, 2025 @ 00:27:08.806	AZodn5lXb6KZxJfcwRw_	-	.ds-logs-auditd.log-default-2025.10.23-000001	-	b78555c1-ae1e-4726-a72e-aadd9b4ef02f	3d539cdf-60e0-4c10-9428-5694ee6316cd	Victim-Ubuntu	Victim-Ubuntu	filebeat	9.1.6	victim	victim	victim	victim	victim	victim	victim	victim	execve	victim	7ffc0a8bc180	7ffc0a8bc290	5ca215146da0	7d601e4c56ec	1	(null)ARCH=x86_64	SYSCALL	705	4	unconfined	false	59	pts0	auditd.log	default	logs	8.17.0	3d539cdf-60e0-4c10-9428-5694ee6316cd	false	9.1.6	syscall	verified	process	auditd.log	Oct 25, 2025 @ 18:06:46.000	event	auditd	info	x86_64	false	Victim-Ubuntu	338801cd3e9c4da8be7f342984998f05	192.168.56.10, fe80::a00:27ff:fe63:f42c, 10.0.3.15, fd17:625c:f037:3:a00:27ff:fed1:5df5, fe80::a00:27ff:fed1:5df5	08-00-27-63-F4-2C, 08-00-27-D1-5D-F5	victim-ubuntu	noble	debian	6.8.0-86-generic	Ubuntu	Ubuntu	ubuntu	linux	24.04.3 LTS (Noble Numbat)	log	/var/log/audit/audit.log	3,220,914	/usr/bin/resolvectl	/usr/bin/resolvectl	-2	(pager)	(pager)	1,196	1,197	auditd-log	1000	1000	1000	1000	1000	1000	1000	1000	1000
